"x","y_obs_TiannaGreenMAPbBr50I50.tif_Azm=_0.00"
15.926,30.271
15.944,30.23
15.962,30.235
15.98,30.256
15.998,30.009
16.016,30.328
16.034,30.119
16.052,30.483
16.07,30.593
16.088,30.718
16.106,31.267
16.124,32.185
16.142,33.087
16.16,33.661
16.178,33.823
16.196,33.043
16.214,32.307
16.232,31.303
16.25,30.932
16.268,30.564
16.286,30.417
16.304,30.544
16.322,30.58
16.34,30.575
16.358,30.243
16.376,30.426
16.394,30.37
16.412,30.389
16.43,30.232
16.448,30.377
16.466,30.45
16.484,30.303
16.502,30.518
16.52,30.507
16.538,30.725
16.556,30.702
16.574,31.023
16.592,30.977
16.61,31.005
16.628,30.826
16.646,30.69
16.664,30.685
16.682,30.523
16.7,30.561
16.718,30.397
16.736,30.536
16.754,30.377
16.772,30.501
16.79,30.496
16.808,30.616
16.826,30.386
16.844,30.414
16.862,30.369
16.88,30.315
16.898,30.271
16.916,30.27
16.934,30.486
16.952,30.248
16.97,30.468
16.988,30.262
17.006,30.57
17.024,30.524
17.042,30.417
17.06,30.273
17.078,30.432
17.096,30.471
17.114,30.408
17.132,30.351
17.15,30.394
17.168,30.488
17.186,30.341
17.204,30.576
17.222,30.396
17.24,30.632
17.258,30.47
17.276,30.632
17.294,30.542
17.312,30.54
17.33,30.526
17.348,30.531
17.366,30.633
17.384,30.581
17.402,31.155
17.42,30.533
17.438,30.559
17.456,30.466
17.474,30.575
17.492,30.308
17.51,30.52
17.528,30.373
17.546,30.566
17.564,30.463
17.582,30.486
17.6,30.594
17.618,30.511
17.636,30.484
17.654,30.54
17.672,30.67
17.69,30.524
17.708,30.814
17.726,30.678
17.744,30.643
17.762,30.399
17.78,30.629
17.798,30.557
17.816,30.662
17.834,30.422
17.852,30.668
17.87,30.587
17.888,30.648
17.906,30.561
17.924,30.782
17.942,30.961
17.96,30.923
17.978,31.02
17.996,31.14
18.014,31.414
18.032,31.315
18.05,31.536
18.068,31.515
18.086,31.644
18.104,31.425
18.122,31.392
18.14,31.113
18.158,31.147
18.176,30.913
18.194,30.977
18.212,30.706
18.23,30.79
18.248,30.668
18.266,30.808
18.284,30.839
18.302,30.846
18.32,30.941
18.338,30.93
18.356,30.873
18.374,30.92
18.392,30.955
18.41,30.967
18.428,31.075
18.446,31.106
18.464,31.384
18.482,31.44
18.5,31.333
18.518,31.725
18.536,32.188
18.554,32.74
18.572,33.828
18.59,36.224
18.608,40.757
18.626,50.466
18.644,60.181
18.662,69.535
18.68,69.203
18.698,63.167
